Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-3.262826,-9.548174,3.241096E-05,-2.782158,-9.829389,0.02408063,-1.217411,-11.01,0.007724524,-2.444,-10.55667,-0.634,-1.424,-9.890412,1.086,-2.444,-10.2816,1.086,
-3.264261,-9.54801,0.002742992,-2.778078,-9.828483,0.02882242,-1.217411,-11.01,0.007724524,-2.444,-10.55724,-0.634,-1.424,-9.889387,1.086,-2.444,-10.28179,1.086,
-3.26505,-9.548155,0.003924833,-2.773493,-9.830573,0.03352916,-1.217411,-11.01,0.007724524,-2.444,-10.5579,-0.634,-1.424,-9.888391,1.086,-2.444,-10.28209,1.086,
-3.265662,-9.548512,0.005210743,-2.767462,-9.834852,0.03855145,-1.217411,-11.01,0.007724524,-2.444,-10.55864,-0.634,-1.424,-9.887433,1.086,-2.444,-10.28249,1.086,
-3.26685,-9.548888,0.007259355,-2.756119,-9.842494,0.0422138,-1.217411,-11.01,0.007724524,-2.444,-10.55945,-0.634,-1.424,-9.886524,1.086,-2.444,-10.28299,1.086,
-3.268052,-9.549381,0.008869872,-2.741321,-9.850716,0.03984797,-1.217411,-11.01,0.007724524,-2.444,-10.56063,-0.634,-1.424,-9.885406,1.086,-2.444,-10.2838,1.086,
-3.268829,-9.549385,0.01044367,-2.728469,-9.857418,0.03557456,-1.217411,-11.01,0.007724524,-2.444,-10.56158,-0.634,-1.424,-9.884651,1.086,-2.444,-10.28451,1.086,
-3.269284,-9.549337,0.0118296,-2.715193,-9.86617,0.02745736,-1.217411,-11.01,0.007724524,-2.444,-10.56291,-0.634,-1.424,-9.883769,1.086,-2.444,-10.28557,1.086,
-3.269802,-9.548981,0.01319026,-2.703253,-9.872598,0.01752317,-1.217411,-11.01,0.007724524,-2.444,-10.56393,-0.634,-1.424,-9.883211,1.086,-2.444,-10.28644,1.086,
-3.269922,-9.549067,0.01389586,-2.692724,-9.876956,0.004762053,-1.217411,-11.01,0.007724524,-2.444,-10.56498,-0.634,-1.424,-9.882749,1.086,-2.444,-10.28737,1.086,
-3.270149,-9.549004,0.01452659,-2.684846,-9.880269,-0.006157517,-1.217411,-11.01,0.007724524,-2.444,-10.56567,-0.634,-1.424,-9.882496,1.086,-2.444,-10.28802,1.086,
-3.270103,-9.548813,0.01590703,-2.679393,-9.883474,-0.01542723,-1.217411,-11.01,0.007724524,-2.444,-10.56672,-0.634,-1.424,-9.882203,1.086,-2.444,-10.28901,1.086,
-3.269895,-9.548705,0.0163741,-2.675389,-9.888457,-0.02462327,-1.217411,-11.01,0.007724524,-2.444,-10.56774,-0.634,-1.424,-9.882017,1.086,-2.444,-10.29004,1.086,
-3.269639,-9.548714,0.01702689,-2.674201,-9.895385,-0.03043401,-1.217411,-11.01,0.007724524,-2.444,-10.56875,-0.634,-1.424,-9.881941,1.086,-2.444,-10.29108,1.086,
-3.269484,-9.548837,0.01736353,-2.674923,-9.904293,-0.03380024,-1.217411,-11.01,0.007724524,-2.444,-10.56971,-0.634,-1.424,-9.881973,1.086,-2.444,-10.29213,1.086,
-3.268946,-9.549246,0.01809548,-2.676623,-9.91395,-0.03628182,-1.217411,-11.01,0.007724524,-2.444,-10.57063,-0.634,-1.424,-9.882114,1.086,-2.444,-10.29317,1.086,
-3.268922,-9.549154,0.01814364,-2.679839,-9.923429,-0.03790128,-1.217411,-11.01,0.007724524,-2.444,-10.57121,-0.634,-1.424,-9.882269,1.086,-2.444,-10.29385,1.086,
-3.268834,-9.549093,0.01805733,-2.683596,-9.933371,-0.03812158,-1.217411,-11.01,0.007724524,-2.444,-10.57202,-0.634,-1.424,-9.882588,1.086,-2.444,-10.29486,1.086,
-3.268377,-9.548789,0.0182886,-2.684922,-9.937223,-0.03848839,-1.217411,-11.01,0.007724524,-2.444,-10.57276,-0.634,-1.424,-9.883011,1.086,-2.444,-10.29582,1.086,
-3.268002,-9.54854,0.01849864,-2.684628,-9.938397,-0.03993189,-1.217411,-11.01,0.007724524,-2.444,-10.57342,-0.634,-1.424,-9.883531,1.086,-2.444,-10.29674,1.086,
-3.267041,-9.54815,0.01937436,-2.683537,-9.937791,-0.04089725,-1.217411,-11.01,0.007724524,-2.444,-10.57399,-0.634,-1.424,-9.884143,1.086,-2.444,-10.2976,1.086,
-3.266654,-9.548038,0.01927148,-2.682641,-9.936999,-0.04189742,-1.217411,-11.01,0.007724524,-2.444,-10.57447,-0.634,-1.424,-9.88484,1.086,-2.444,-10.2984,1.086,
-3.265861,-9.548139,0.01955424,-2.681597,-9.936261,-0.04094779,-1.217411,-11.01,0.007724524,-2.444,-10.57485,-0.634,-1.424,-9.885615,1.086,-2.444,-10.29912,1.086,
-3.265636,-9.548213,0.01979993,-2.681382,-9.935917,-0.03965461,-1.217411,-11.01,0.007724524,-2.444,-10.57512,-0.634,-1.424,-9.886459,1.086,-2.444,-10.29976,1.086,
-3.265126,-9.548326,0.01996635,-2.681832,-9.936221,-0.03887022,-1.217411,-11.01,0.007724524,-2.444,-10.57529,-0.634,-1.424,-9.887364,1.086,-2.444,-10.30031,1.086,
-1.406057,-9.508468,0.1583582,-0.8241286,-9.897347,0.09911959,0.6412385,-10.97,0.1456191,-2.444,-10.57534,-0.634,-1.424,-9.888319,1.086,-2.444,-10.30076,1.086,
-1.405624,-9.508825,0.1589712,-0.8257221,-9.898834,0.09929435,0.6412385,-10.97,0.1456191,-2.444,-10.57529,-0.634,-1.424,-9.889313,1.086,-2.444,-10.30111,1.086,
-1.405198,-9.509048,0.1595697,-0.8268389,-9.901402,0.1001224,0.6412385,-10.97,0.1456191,-2.444,-10.57513,-0.634,-1.424,-9.890336,1.086,-2.444,-10.30135,1.086,
-1.404546,-9.509433,0.1611435,-0.8277024,-9.903148,0.1021522,0.6412385,-10.97,0.1456191,-2.444,-10.57486,-0.634,-1.424,-9.891376,1.086,-2.444,-10.30149,1.086,
-1.404336,-9.509572,0.1616286,-0.8290671,-9.906425,0.1036246,0.6412385,-10.97,0.1456191,-2.444,-10.57449,-0.634,-1.424,-9.892423,1.086,-2.444,-10.30152,1.086,
-1.404083,-9.510106,0.1633653,-0.8302246,-9.910448,0.1049138,0.6412385,-10.97,0.1456191,-2.444,-10.57401,-0.634,-1.424,-9.893464,1.086,-2.444,-10.30143,1.086,
-1.404084,-9.510513,0.1647269,-0.832009,-9.913593,0.1063514,0.6412385,-10.97,0.1456191,-2.444,-10.57344,-0.634,-1.424,-9.894489,1.086,-2.444,-10.30124,1.086,
