Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,V826_x,V826_y,V826_z,R836_x,R836_y,R836_z,A554_x,A554_y,A554_z,
-1.68808,-9.483859,-0.2517646,-1.530753,-10.16025,-0.5315883,-0.2354935,-10.97,-0.6974035,-1.424,-10.25246,-0.634,-2.444,-9.908814,1.086,-0.404,-9.631392,-1.064,
-1.687144,-9.485058,-0.2541462,-1.535589,-10.16419,-0.5280687,-0.2354935,-10.97,-0.6974035,-1.424,-10.25264,-0.634,-2.444,-9.909644,1.086,-0.404,-9.631916,-1.064,
-1.687054,-9.485992,-0.2570153,-1.539977,-10.16707,-0.525345,-0.2354935,-10.97,-0.6974035,-1.424,-10.25272,-0.634,-2.444,-9.910847,1.086,-0.404,-9.632463,-1.064,
-1.687096,-9.486485,-0.258359,-1.541899,-10.16833,-0.523353,-0.2354935,-10.97,-0.6974035,-1.424,-10.25261,-0.634,-2.444,-9.912136,1.086,-0.404,-9.632827,-1.064,
-1.686287,-9.486634,-0.2602564,-1.5404,-10.16709,-0.5215862,-0.2354935,-10.97,-0.6974035,-1.424,-10.25239,-0.634,-2.444,-9.913144,1.086,-0.404,-9.632974,-1.064,
-1.684769,-9.486561,-0.2623468,-1.535589,-10.16397,-0.519469,-0.2354935,-10.97,-0.6974035,-1.424,-10.25194,-0.634,-2.444,-9.914524,1.086,-0.404,-9.633,-1.064,
-1.684462,-9.486796,-0.263136,-1.530156,-10.16031,-0.5172543,-0.2354935,-10.97,-0.6974035,-1.424,-10.25149,-0.634,-2.444,-9.91557,1.086,-0.404,-9.632893,-1.064,
-1.683668,-9.48705,-0.2645858,-1.523423,-10.15449,-0.5136053,-0.2354935,-10.97,-0.6974035,-1.424,-10.25094,-0.634,-2.444,-9.916614,1.086,-0.404,-9.632677,-1.064,
-1.683232,-9.487263,-0.2651678,-1.517356,-10.14964,-0.507261,-0.2354935,-10.97,-0.6974035,-1.424,-10.2503,-0.634,-2.444,-9.917644,1.086,-0.404,-9.632356,-1.064,
-1.682505,-9.487606,-0.2661958,-1.511759,-10.14547,-0.4984986,-0.2354935,-10.97,-0.6974035,-1.424,-10.24957,-0.634,-2.444,-9.918647,1.086,-0.404,-9.631931,-1.064,
-1.681606,-9.4879,-0.2669497,-1.503794,-10.13982,-0.4868355,-0.2354935,-10.97,-0.6974035,-1.424,-10.24877,-0.634,-2.444,-9.919614,1.086,-0.404,-9.63141,-1.064,
-1.681433,-9.487681,-0.2674115,-1.49534,-10.13327,-0.4762258,-0.2354935,-10.97,-0.6974035,-1.424,-10.24761,-0.634,-2.444,-9.920828,1.086,-0.404,-9.630571,-1.064,
-1.680704,-9.487399,-0.2679964,-1.486264,-10.12714,-0.4691154,-0.2354935,-10.97,-0.6974035,-1.424,-10.24635,-0.634,-2.444,-9.921935,1.086,-0.404,-9.629586,-1.064,
-1.680034,-9.487082,-0.2684026,-1.479612,-10.12335,-0.4664695,-0.2354935,-10.97,-0.6974035,-1.424,-10.24501,-0.634,-2.444,-9.922913,1.086,-0.404,-9.628474,-1.064,
-1.679352,-9.48686,-0.2681549,-1.474065,-10.12071,-0.4637291,-0.2354935,-10.97,-0.6974035,-1.424,-10.24398,-0.634,-2.444,-9.92355,1.086,-0.404,-9.627568,-1.064,
-1.678976,-9.486274,-0.2674499,-1.470999,-10.11966,-0.4619007,-0.2354935,-10.97,-0.6974035,-1.424,-10.24294,-0.634,-2.444,-9.924096,1.086,-0.404,-9.626613,-1.064,
