Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-3.99678,-10.18534,-0.433877,-4.194039,-10.26079,-0.4737984,-4.134869,-10.25206,-0.3123695
-3.996703,-10.1853,-0.4339137,-4.194085,-10.2607,-0.4737788,-4.134978,-10.25213,-0.3123256
-3.996703,-10.18532,-0.4339831,-4.194007,-10.26079,-0.4737989,-4.134853,-10.2523,-0.3122708
-3.996769,-10.18536,-0.4339314,-4.194142,-10.26066,-0.4739035,-4.134989,-10.25222,-0.3122278
-3.996834,-10.1854,-0.4341288,-4.194122,-10.26074,-0.4739643,-4.134977,-10.25243,-0.3122174
-3.996813,-10.18541,-0.4340365,-4.194106,-10.26072,-0.4740142,-4.135022,-10.25264,-0.311905
-3.996797,-10.18544,-0.4340379,-4.1941,-10.26062,-0.4739095,-4.134942,-10.25253,-0.3118008
-3.996815,-10.18553,-0.4341326,-4.194173,-10.26072,-0.4741217,-4.134948,-10.25247,-0.3121527
-3.996806,-10.18557,-0.4341836,-4.19416,-10.26078,-0.4740826,-4.134974,-10.2525,-0.3121182
-3.996777,-10.1856,-0.4342668,-4.194127,-10.26083,-0.4740673,-4.134947,-10.25254,-0.3122116
-3.996755,-10.18557,-0.4341486,-4.194118,-10.26081,-0.4738632,-4.134994,-10.25244,-0.3120536
-3.996765,-10.1856,-0.4341195,-4.194114,-10.2608,-0.4738709,-4.134947,-10.2526,-0.3117775
-3.996738,-10.18558,-0.4339209,-4.193995,-10.26071,-0.4737955,-4.134894,-10.25224,-0.3120033
-3.996681,-10.18555,-0.4339006,-4.194066,-10.26083,-0.4738592,-4.134925,-10.25235,-0.3119432
-3.996804,-10.18557,-0.4338696,-4.194218,-10.26077,-0.4738837,-4.135094,-10.25225,-0.311956
-3.996847,-10.18553,-0.4337947,-4.194154,-10.26071,-0.4738089,-4.13506,-10.25221,-0.3118607
-3.996763,-10.18555,-0.4338846,-4.194156,-10.2607,-0.4737986,-4.135091,-10.25214,-0.31185
-3.996814,-10.18561,-0.4341004,-4.194096,-10.26098,-0.4740268,-4.134956,-10.25262,-0.3120447
-3.99678,-10.18555,-0.4338536,-4.194155,-10.26084,-0.4736577,-4.134983,-10.25242,-0.3118428
-3.996689,-10.18556,-0.4341531,-4.1941,-10.26103,-0.4739183,-4.134818,-10.25273,-0.3119677
-3.996597,-10.18556,-0.4340699,-4.1941,-10.26102,-0.4739646,-4.13473,-10.25267,-0.3118073
-3.996731,-10.18557,-0.4338617,-4.194016,-10.26103,-0.4736696,-4.134676,-10.25274,-0.3117882
-3.99678,-10.18563,-0.4340076,-4.194274,-10.26104,-0.4736964,-4.13504,-10.25272,-0.3119196
-3.996721,-10.18564,-0.4337592,-4.19409,-10.26105,-0.4734143,-4.134867,-10.25257,-0.3117138
-3.996742,-10.18562,-0.4337065,-4.194076,-10.26107,-0.4734064,-4.134869,-10.25255,-0.311711
-3.996855,-10.18561,-0.4337018,-4.194167,-10.26105,-0.473497,-4.135038,-10.25263,-0.3116959
-3.996909,-10.18566,-0.4336047,-4.194178,-10.26103,-0.4734703,-4.135154,-10.25277,-0.3113879
-3.996816,-10.18555,-0.4336631,-4.194205,-10.26082,-0.4733583,-4.13514,-10.25243,-0.3116149
-3.996811,-10.18553,-0.4336336,-4.194115,-10.26085,-0.4733716,-4.13504,-10.25243,-0.3116189
-3.996774,-10.18545,-0.4338017,-4.194051,-10.26089,-0.4735075,-4.134942,-10.25255,-0.3116494
-3.996833,-10.18543,-0.4337502,-4.19417,-10.26085,-0.473611,-4.135038,-10.2525,-0.3116308
-3.996879,-10.18544,-0.4337146,-4.194194,-10.26086,-0.4736172,-4.135034,-10.25265,-0.3113264
-3.996954,-10.18542,-0.4337523,-4.194216,-10.26081,-0.4737381,-4.135057,-10.2525,-0.3116046
-3.996984,-10.18544,-0.4338589,-4.19428,-10.26078,-0.473827,-4.135146,-10.25259,-0.3116313
-3.996984,-10.18543,-0.4339476,-4.194218,-10.26081,-0.4738365,-4.135092,-10.25259,-0.3117114
-3.99687,-10.18543,-0.4341872,-4.194093,-10.26087,-0.4739562,-4.134946,-10.25271,-0.3118101
-3.99678,-10.18542,-0.4342859,-4.194055,-10.26087,-0.4739305,-4.134924,-10.2527,-0.3116492
-3.996817,-10.18542,-0.4342017,-4.19413,-10.26091,-0.4738864,-4.134972,-10.25268,-0.3116652
