Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,E_x,E_y,E_z,R_x,R_y,R_z,
-4.041038,-10.19324,-0.4077713,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39056,0.226,-0.404,-10.32786,0.226,0.1059999,-9.52094,-0.204,
-4.041031,-10.19324,-0.4078081,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39052,0.226,-0.404,-10.32717,0.226,0.1059999,-9.520577,-0.204,
-4.04107,-10.19295,-0.4082553,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39052,0.226,-0.404,-10.32648,0.226,0.1059999,-9.520174,-0.204,
-4.041075,-10.19297,-0.4082468,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39058,0.226,-0.404,-10.3258,0.226,0.1059999,-9.519732,-0.204,
-4.041053,-10.19316,-0.4079721,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39068,0.226,-0.404,-10.32514,0.226,0.1059999,-9.519254,-0.204,
-4.041052,-10.19297,-0.4083705,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39083,0.226,-0.404,-10.32449,0.226,0.1059999,-9.518741,-0.204,
-4.041041,-10.19298,-0.4083159,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39103,0.226,-0.404,-10.32386,0.226,0.1059999,-9.518196,-0.204,
-4.041006,-10.19323,-0.4080222,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39127,0.226,-0.404,-10.32325,0.226,0.1059999,-9.517622,-0.204,
-4.04105,-10.19303,-0.4084566,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39156,0.226,-0.404,-10.32267,0.226,0.1059999,-9.517022,-0.204,
-4.041078,-10.19304,-0.4082868,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39207,0.226,-0.404,-10.32185,0.226,0.1059999,-9.516079,-0.204,
-4.04102,-10.19327,-0.4079978,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39247,0.226,-0.404,-10.32135,0.226,0.1059999,-9.515426,-0.204,
-4.040901,-10.19324,-0.4081137,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.3929,0.226,-0.404,-10.32088,0.226,0.1059999,-9.514757,-0.204,
-4.04088,-10.19298,-0.408515,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39337,0.226,-0.404,-10.32044,0.226,0.1059999,-9.514076,-0.204,
-4.040933,-10.19294,-0.4085076,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39388,0.226,-0.404,-10.32005,0.226,0.1059999,-9.513386,-0.204,
-4.040998,-10.19327,-0.4079015,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.3947,0.226,-0.404,-10.31953,0.226,0.1059999,-9.512341,-0.204,
-4.040946,-10.19306,-0.4082277,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39528,0.226,-0.404,-10.31925,0.226,0.1059999,-9.511644,-0.204,
-4.04106,-10.19314,-0.4082043,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39589,0.226,-0.404,-10.319,0.226,0.1059999,-9.510949,-0.204,
-4.040973,-10.19335,-0.4080491,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39652,0.226,-0.404,-10.31881,0.226,0.1059999,-9.51026,-0.204,
-4.040968,-10.19305,-0.4084814,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39716,0.226,-0.404,-10.31866,0.226,0.1059999,-9.509581,-0.204,
-4.041002,-10.19299,-0.4084446,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39783,0.226,-0.404,-10.31855,0.226,0.1059999,-9.508914,-0.204,
-4.041034,-10.19325,-0.4079816,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39851,0.226,-0.404,-10.3185,0.226,0.1059999,-9.508265,-0.204,
-4.040977,-10.19317,-0.4080842,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.3992,0.226,-0.404,-10.3185,0.226,0.1059999,-9.507633,-0.204,
-4.040956,-10.19286,-0.4085133,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39989,0.226,-0.404,-10.31854,0.226,0.1059999,-9.507025,-0.204,
-4.041045,-10.19293,-0.4086115,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40059,0.226,-0.404,-10.31863,0.226,0.1059999,-9.506441,-0.204,
-4.041089,-10.19316,-0.4082596,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40129,0.226,-0.404,-10.31877,0.226,0.1059999,-9.505886,-0.204,
-4.041068,-10.19294,-0.408668,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40198,0.226,-0.404,-10.31896,0.226,0.1059999,-9.505362,-0.204,
-4.041154,-10.19293,-0.4085853,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40301,0.226,-0.404,-10.31933,0.226,0.1059999,-9.504638,-0.204,
-4.041161,-10.19314,-0.4082816,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40368,0.226,-0.404,-10.31963,0.226,0.1059999,-9.504202,-0.204,
-4.0412,-10.19292,-0.4087713,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40433,0.226,-0.404,-10.31998,0.226,0.1059999,-9.503804,-0.204,
-4.041133,-10.19278,-0.4087398,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40497,0.226,-0.404,-10.32036,0.226,0.1059999,-9.503448,-0.204,
-4.041092,-10.19273,-0.408675,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40558,0.226,-0.404,-10.32079,0.226,0.1059999,-9.503135,-0.204,
-4.041106,-10.193,-0.4081724,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40645,0.226,-0.404,-10.3215,0.226,0.1059999,-9.502748,-0.204,
-4.041079,-10.19268,-0.4085491,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.407,0.226,-0.404,-10.32201,0.226,0.1059999,-9.502546,-0.204,
-4.041077,-10.19268,-0.4085095,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40751,0.226,-0.404,-10.32256,0.226,0.1059999,-9.502394,-0.204,
-4.041126,-10.19272,-0.4085119,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.408,0.226,-0.404,-10.32314,0.226,0.1059999,-9.502288,-0.204,
-4.041093,-10.19295,-0.4081185,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40865,0.226,-0.404,-10.32405,0.226,0.1059999,-9.50222,-0.204,
-4.041,-10.19288,-0.4081905,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40903,0.226,-0.404,-10.32469,0.226,0.1059999,-9.502236,-0.204,
-4.040993,-10.19264,-0.4085982,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40954,0.226,-0.404,-10.32567,0.226,0.1059999,-9.502351,-0.204,
-4.041104,-10.19269,-0.4088514,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40981,0.226,-0.404,-10.32635,0.226,0.1059999,-9.502487,-0.204,
-4.041071,-10.19267,-0.4088078,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41015,0.226,-0.404,-10.32738,0.226,0.1059999,-9.502781,-0.204,
-4.040994,-10.19293,-0.4085209,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41031,0.226,-0.404,-10.32808,0.226,0.1059999,-9.503035,-0.204,
-4.040933,-10.19268,-0.4088607,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41043,0.226,-0.404,-10.32878,0.226,0.1059999,-9.503333,-0.204,
-4.040909,-10.19271,-0.4088247,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.4105,0.226,-0.404,-10.32947,0.226,0.1059999,-9.503675,-0.204,
-4.040909,-10.19297,-0.4083755,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41051,0.226,-0.404,-10.33016,0.226,0.1059999,-9.504058,-0.204,
-4.04088,-10.19272,-0.4088094,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41049,0.226,-0.404,-10.33085,0.226,0.1059999,-9.504481,-0.204,
-4.040953,-10.19275,-0.4088352,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41041,0.226,-0.404,-10.33152,0.226,0.1059999,-9.504942,-0.204,
-4.041126,-10.19284,-0.4088094,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.4102,0.226,-0.404,-10.3325,0.226,0.1059999,-9.505698,-0.204,
-4.04111,-10.19308,-0.4085124,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41,0.226,-0.404,-10.33313,0.226,0.1059999,-9.506243,-0.204,
-4.041068,-10.19287,-0.408879,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40976,0.226,-0.404,-10.33374,0.226,0.1059999,-9.506817,-0.204,
-4.040977,-10.19286,-0.4087012,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40947,0.226,-0.404,-10.33432,0.226,0.1059999,-9.507417,-0.204,
-4.040972,-10.19317,-0.4083302,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40914,0.226,-0.404,-10.33487,0.226,0.1059999,-9.50804,-0.204,
