Time StampA(Clone)_x,A(Clone)_y,A(Clone)_z
20240313_230816,0.1059999,-9.617555,-0.204
20240313_230816,0.1059999,-9.617562,-0.204
20240313_230816,0.1059999,-9.617402,-0.204
20240313_230816,0.1059999,-9.617249,-0.204
20240313_230816,0.1059999,-9.61705,-0.204
20240313_230816,0.1059999,-9.616665,-0.204
20240313_230816,0.1059999,-9.616353,-0.204
20240313_230816,0.1059999,-9.615602,-0.204
20240313_230816,0.1059999,-9.615166,-0.204
20240313_230816,0.1059999,-9.614444,-0.204
20240313_230816,0.1059999,-9.61392,-0.204
20240313_230816,0.1059999,-9.613078,-0.204
20240313_230816,0.1059999,-9.612482,-0.204
20240313_230816,0.1059999,-9.611222,-0.204
20240313_230816,0.1059999,-9.610229,-0.204
20240313_230816,0.1059999,-9.60955,-0.204
20240313_230816,0.1059999,-9.608862,-0.204
20240313_230816,0.1059999,-9.607818,-0.204
20240313_230816,0.1059999,-9.606771,-0.204
20240313_230816,0.1059999,-9.605734,-0.204
20240313_230816,0.1059999,-9.605053,-0.204
20240313_230816,0.1059999,-9.604384,-0.204
20240313_230817,0.1059999,-9.60373,-0.204
20240313_230817,0.1059999,-9.603096,-0.204
20240313_230817,0.1059999,-9.601895,-0.204
20240313_230817,0.1059999,-9.601335,-0.204
20240313_230817,0.1059999,-9.600552,-0.204
20240313_230817,0.1059999,-9.600072,-0.204
20240313_230817,0.1059999,-9.599629,-0.204
20240313_230817,0.1059999,-9.599037,-0.204
20240313_230817,0.1059999,-9.598395,-0.204
20240313_230817,0.1059999,-9.59803,-0.204
20240313_230817,0.1059999,-9.597845,-0.204
20240313_230817,0.1059999,-9.597656,-0.204
20240313_230817,0.1059999,-9.59759,-0.204
20240313_230817,0.1059999,-9.597639,-0.204
20240313_230817,0.1059999,-9.597814,-0.204
20240313_230817,0.1059999,-9.597989,-0.204
20240313_230817,0.1059999,-9.59834,-0.204
