Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.46648,-10.368,0.06208335,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33599,-1.064,-1.934,-10.15103,0.226,-1.424,-9.775042,-1.064,
-4.465888,-10.36785,0.06248544,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33556,-1.064,-1.934,-10.15087,0.226,-1.424,-9.774351,-1.064,
-4.466149,-10.36794,0.0623679,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33498,-1.064,-1.934,-10.15072,0.226,-1.424,-9.773333,-1.064,
-4.466189,-10.36793,0.06240784,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33465,-1.064,-1.934,-10.15068,0.226,-1.424,-9.77267,-1.064,
-4.465472,-10.36775,0.06306253,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3345,-1.064,-1.934,-10.15067,0.226,-1.424,-9.772345,-1.064,
-4.466033,-10.36774,0.06289493,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33424,-1.064,-1.934,-10.15071,0.226,-1.424,-9.771708,-1.064,
-4.466053,-10.3677,0.0629326,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33401,-1.064,-1.934,-10.15079,0.226,-1.424,-9.771094,-1.064,
-4.465485,-10.3677,0.06297849,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33384,-1.064,-1.934,-10.15092,0.226,-1.424,-9.770505,-1.064,
-4.465463,-10.36757,0.06296454,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33367,-1.064,-1.934,-10.1512,0.226,-1.424,-9.769672,-1.064,
-4.465333,-10.36755,0.06292234,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33364,-1.064,-1.934,-10.15132,0.226,-1.424,-9.76941,-1.064,
-4.46506,-10.36751,0.06314264,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33361,-1.064,-1.934,-10.15159,0.226,-1.424,-9.768911,-1.064,
-4.464113,-10.3673,0.06347023,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33363,-1.064,-1.934,-10.1519,0.226,-1.424,-9.768447,-1.064,
-4.464047,-10.36726,0.06356238,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33375,-1.064,-1.934,-10.15245,0.226,-1.424,-9.767822,-1.064,
-4.464444,-10.36736,0.06322108,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33389,-1.064,-1.934,-10.15287,0.226,-1.424,-9.767456,-1.064,
-4.464539,-10.36733,0.06344913,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33408,-1.064,-1.934,-10.15333,0.226,-1.424,-9.767132,-1.064,
-4.464521,-10.36727,0.06349264,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33444,-1.064,-1.934,-10.15407,0.226,-1.424,-9.766728,-1.064,
-4.464521,-10.36733,0.06346963,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33475,-1.064,-1.934,-10.15462,0.226,-1.424,-9.766517,-1.064,
-4.464415,-10.36732,0.06348871,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33528,-1.064,-1.934,-10.15548,0.226,-1.424,-9.766287,-1.064,
-4.46474,-10.36739,0.06316064,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33569,-1.064,-1.934,-10.15609,0.226,-1.424,-9.766193,-1.064,
-4.464982,-10.36753,0.06296216,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33613,-1.064,-1.934,-10.15672,0.226,-1.424,-9.76615,-1.064,
-4.464948,-10.3675,0.0629568,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33661,-1.064,-1.934,-10.15737,0.226,-1.424,-9.766153,-1.064,
-4.464981,-10.36743,0.06288598,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33687,-1.064,-1.934,-10.1577,0.226,-1.424,-9.766173,-1.064,
-4.464233,-10.36725,0.06308077,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33767,-1.064,-1.934,-10.15872,0.226,-1.424,-9.766307,-1.064,
-4.46457,-10.36736,0.06297491,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33796,-1.064,-1.934,-10.15906,0.226,-1.424,-9.766376,-1.064,
-4.464662,-10.36742,0.06287466,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33855,-1.064,-1.934,-10.15975,0.226,-1.424,-9.766549,-1.064,
-4.464577,-10.36744,0.06284331,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.33916,-1.064,-1.934,-10.16045,0.226,-1.424,-9.766768,-1.064,
-4.466149,-10.3683,0.06314038,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3398,-1.064,-1.934,-10.16115,0.226,-1.424,-9.767034,-1.064,
